系统,发表,保护对象,是否持续随机化,粒度,触发策略,索引更新方式,是否保留旧副本,原文报告开销,能否本平台复现,与本文可比性,备注
Adelie,ASPLOS 2022,内核模块与驱动,是,函数,定间隔,模块间经只读 GOT,否,约 2–6%（I/O 负载）,需确认（R-64）,**同范围对照可直接比**,最接近的工作；依赖模块接口边界
Dbox,—,内核（部分区域）,是,函数,定间隔,部分随机化，非随机化区不动,否,需查原文,需确认,同范围对照,需核对发表信息
Remix,CODASPY 2016,内核代码,是（live）,基本块（函数内重排）,定间隔,函数内重排，函数地址不变,否,约 5%,可能可复现,**粒度不同**：它不移动函数，故无索引更新问题,"对照价值高：说明""不动函数""的代价"
kR^X,EuroSys 2017,内核代码,否（装载期）,细粒度多样化,—,—,—,约 4%,较易复现,**非持续**，作为 XOM + 多样化的对照,其 XOM 思路与第4章可比
FG-KASLR,Linux 补丁系列（未合入）,内核 built-in,否（装载期）,函数,—,装载期一次性重排,—,约 1%,可编译该补丁系列,**非持续**，作为熵与粒度的基线,第2章已作基线引用
MARDU,SYSTOR 2020,用户态代码（内核辅助）,是,函数,按需 + 定间隔,共享代码页 + 跳板,否,约 5–10%,较难,**保护对象不同**，仅作机制参照,跳板用法与本文可比
Shuffler,OSDI 2016,用户态,是,函数,定间隔（50ms）,代码指针表下标,**是**（异步）,约 15%,较难,**保护对象不同**；旧副本问题的经典对照,第3.2.2节已引用
SafeHidden,USENIX Sec 2019,用户态安全区域,是,—,**探测行为驱动**,—,否,需查原文,较难,**触发策略可比**：与第4章同属按需触发,第4章的直接对照
PtrProxy,—,用户态,是,函数指针,探测行为驱动,指针代理,否,需查原文,较难,触发策略可比,需核对发表信息
TASR,CCS 2015,用户态,是,函数,I/O 事件驱动,指针追踪,否,约 2.1%,较难,触发策略可比,第2章已引用
本文 I-KASLR,—,内核 built-in 代码,是,函数,**信息泄露检测驱动**,跳板 target_addr（O(1)）,否,见 E6-E3,—,—,保护范围最大
