平台,阶段,中位 ns,p95 ns,说明
"x86 (EPT, 裸机)",EPT violation 陷入,1150,1600,裸机；嵌套环境下约 18000，须标注
"x86 (EPT, 裸机)",定位被读页 + 标记被探测函数,380,720,查表
"x86 (EPT, 裸机)",临时开读 + 置 MTF + VMRESUME,1420,2100,改 EPT 项 + INVEPT
"x86 (EPT, 裸机)",MTF 陷入 + 恢复只执行,1380,1950,再改 EPT 项 + INVEPT
"x86 (EPT, 裸机)",单次检测合计,4330,6370,四阶段之和
"x86 (EPT, 嵌套)",单次检测合计,43000,61000,约 10 倍放大，仅供参考
ARM (观察点),观察点异常陷入,420,680,不经虚拟化
ARM (观察点),定位 + 标记,360,690,同 x86
ARM (观察点),临时关观察点 + 单步 + 重开,540,910,仅本核，无跨核开销
ARM (观察点),单次检测合计,1320,2280,约为 x86 裸机的 1/3
两平台,单次控制流审计（陷阱→判偏移→重定向）,310,540,与检测源无关
两平台,布设一个被探测函数（陷阱页+副本）,8600,14200,一次性，不在热路径
